Date,Post_Id,Shares_Count,Comments_Count,Likes_Count
20210124,104958196201736_1923821067648764,11,11.0,0
20210124,104958196201736_1923932760970928,8,8.0,200.0
20210124,104958196201736_1923785630985641,0,0.0,4.0
20210124,104958196201736_1923875540976650,2,3.0,2.0
